condition,sampler,steps,n_rollouts,n_env_seeds,n_sampling_seeds,mean_score,score_std_descriptive,policy_median_ms,policy_p95_ms,benchmark_calls,DDIM_reference,speedup_vs_DDIM_reference,paired_score_delta_vs_DDIM_reference
DDPM_100,DDPM,100,15,5,3,0.929050401370895,0.20918100491733,1458.7183499999696,1487.2933749999788,20,separate_sampler_reference,,
DDIM_100,DDIM,100,15,5,3,0.9910124378621015,0.012174551027996004,1116.0833499999399,1153.341029999865,20,DDIM_100,1.0,0.0
DDIM_50,DDIM,50,15,5,3,0.9957654004430702,0.009546504177831096,557.1215500000051,567.8524650000327,20,DDIM_100,2.003303139144285,0.004752962580968897
DDIM_20,DDIM,20,15,5,3,0.9350355978659014,0.20999236281259456,231.94599999987986,243.41676999994206,20,DDIM_100,4.811824088367628,-0.055976839996200095
DDIM_10,DDIM,10,15,5,3,0.9869158070798882,0.03395937898966722,116.20985000001838,125.28874000016685,20,DDIM_100,9.604033995395083,-0.004096630782213221
