epoch,global_step,train_loss,val_loss,lr,train_mean_score,test_mean_score
0,335,0.34626363369724933,0.08424678444862366,6.720000000000001e-05,0.19200221561176062,0.0831150547421388
1,671,0.07574495270715229,0.06325513124465942,9.999333759521714e-05,,
2,1007,0.0628072712126942,0.06253071874380112,9.994189318717449e-05,,
3,1343,0.057341098657897896,0.056611526757478714,9.983966201915377e-05,,
4,1679,0.05432244664656797,0.05571632832288742,9.968674805176728e-05,,
5,2015,0.05149689651859392,0.05250050500035286,9.948330678582727e-05,,
6,2351,0.04900042804711986,0.05418173968791962,9.922954510421475e-05,,
7,2687,0.04705765828978093,0.048452604562044144,9.892572106149656e-05,,
8,3023,0.04610754394837256,0.0512666292488575,9.857214362150545e-05,,
9,3359,0.04618670792496275,0.047728002071380615,9.816917234314944e-05,,
10,3695,0.04375480680859515,0.05182959511876106,9.771721701477025e-05,0.989756568695134,0.7211766100426974
11,4031,0.042319205038005576,0.04525088891386986,9.721673723742258e-05,,
12,4367,0.04128044098061288,0.0447562038898468,9.666824195749804e-05,,
13,4703,0.03914408542914316,0.04510965570807457,9.60722889491688e-05,,
14,5039,0.04037509024298439,0.04633744806051254,9.542948424717766e-05,,
15,5375,0.039297541517520414,0.04733068495988846,9.474048153055097e-05,,
16,5711,0.03893812254647769,0.045310232788324356,9.400598145786133e-05,,
17,6047,0.03619756160436997,0.045531291514635086,9.322673095471599e-05,,
18,6383,0.036278928111728635,0.04540758952498436,9.240352245419548e-05,,
19,6719,0.036719005524424746,0.04473885893821716,9.153719309101497e-05,,
20,7055,0.03551344661363622,0.04216466099023819,9.06286238502277e-05,1.0,0.9504835092721979
21,7391,0.035584944513781615,0.0439448244869709,8.967873867133641e-05,,
22,7727,0.03396455046077747,0.04507061094045639,8.868850350872339e-05,,
23,8063,0.034622606311348225,0.04421210661530495,8.76589253493553e-05,,
24,8399,0.031517182199639227,0.042506858706474304,8.659105118876068e-05,,
25,8735,0.03223730626909639,0.043881624937057495,8.548596696632275e-05,,
26,9071,0.0332667407928966,0.04149094969034195,8.434479646096892e-05,,
27,9407,0.03120603772445715,0.04205254092812538,8.316870014838106e-05,,
28,9743,0.030131280995971923,0.04137011989951134,8.195887402088798e-05,,
29,10079,0.03224220428715593,0.04413449764251709,8.071654837124052e-05,,
30,10415,0.029729985831571475,0.04320881515741348,7.944298654150599e-05,0.935648091308249,0.9155512915188103
31,10751,0.029799820700039465,0.042432788759469986,7.813948363835406e-05,,
32,11087,0.029808596989217524,0.04698460176587105,7.680736521604088e-05,,
33,11423,0.03006234914591048,0.0428946353495121,7.544798592843033e-05,,
34,11759,0.028719724613308375,0.04081429913640022,7.406272815142355e-05,,
35,12095,0.02832124528885331,0.04396279528737068,7.265300057719737e-05,,
36,12431,0.02773660816074837,0.04486522078514099,7.122023678168126e-05,,
37,12767,0.02591999678961223,0.040626633912324905,6.976589376672971e-05,,
38,13103,0.028802381141022557,0.046588752418756485,6.829145047847213e-05,,
39,13439,0.02744036386831708,0.04326305910944939,6.67984063033475e-05,,
40,13775,0.026355651703419254,0.04217544198036194,6.52882795433528e-05,0.9961700644621317,0.9834450721349204
41,14111,0.02583203035395681,0.04525095596909523,6.37626058720559e-05,,
42,14447,0.024301358149386942,0.04654945060610771,6.222293677294295e-05,,
43,14783,0.0248212199436412,0.04705780744552612,6.06708379616886e-05,,
44,15119,0.0250516698551586,0.0476311519742012,5.910788779395295e-05,,
45,15455,0.0248765026543489,0.046200502663850784,5.753567566032494e-05,,
46,15791,0.023244271248889465,0.04542895779013634,5.595580037004411e-05,,
47,16127,0.02405177949029686,0.04704540967941284,5.436986852514413e-05,,
48,16463,0.023199908896848292,0.04665624350309372,5.27794928866721e-05,,
49,16799,0.02218485394647966,0.04853718355298042,5.118629073464424e-05,,
50,17135,0.022818125261914075,0.04618158936500549,4.9591882223406525e-05,0.9881911665707049,0.9935193255232094
51,17471,0.021608844610108507,0.05014341324567795,4.799788873407208e-05,,
52,17807,0.022320143175810308,0.05099741369485855,4.640593122571116e-05,,
53,18143,0.02127543426606627,0.04970145598053932,4.481762858697043e-05,,
54,18479,0.02158136818408301,0.05184398964047432,4.32345959897975e-05,,
55,18815,0.021498501395052744,0.049894291907548904,4.1658443246945115e-05,,
56,19151,0.021329828224787933,0.05382385104894638,4.0090773174925285e-05,,
57,19487,0.020269918524371905,0.05204552412033081,3.8533179964077845e-05,,
58,19823,0.02012934884294823,0.051734019070863724,3.698724755741123e-05,,
59,20159,0.01970966438446859,0.053410038352012634,3.545454803986394e-05,,
60,20495,0.019212710858222896,0.0547202043235302,3.393664003962465e-05,0.9710967339997735,0.9767222968860857
61,20831,0.018797451861679464,0.056412871927022934,3.243506714313664e-05,,
62,21167,0.018247087491631862,0.0558171309530735,3.095135632539861e-05,,
63,21503,0.018582702921343126,0.054529234766960144,2.9487016397157792e-05,,
64,21839,0.018297702177993154,0.055747006088495255,2.8043536470574617e-05,,
65,22175,0.017505234587588347,0.05869247019290924,2.6622384444919364e-05,,
66,22511,0.01820111691319783,0.05956846475601196,2.5225005513840344e-05,,
67,22847,0.01694767889040079,0.06243908777832985,2.3852820695721968e-05,,
68,23183,0.01764845951887158,0.057806938886642456,2.2507225388626985e-05,,
69,23519,0.016237691417960116,0.06346150487661362,2.118958795129245e-05,,
70,23855,0.016865542557622706,0.061440832912921906,1.990124831162257e-05,1.0,0.9534459984261985
71,24191,0.015397510985730193,0.06164722144603729,1.8643516604093113e-05,,
72,24527,0.015441413805958638,0.06625084578990936,1.741767183745343e-05,,
73,24863,0.01666478733698438,0.06106683611869812,1.622496059408077e-05,,
74,25199,0.014882650048959823,0.06675500422716141,1.5066595762309477e-05,,
75,25535,0.014754408583810021,0.06681828200817108,1.3943755303024159e-05,,
76,25871,0.014468656794980191,0.07014966756105423,1.2857581051771289e-05,,
77,26207,0.014112570399967288,0.0727720782160759,1.1809177557607221e-05,,
78,26543,0.014207900999151337,0.06867393106222153,1.0799610959863499e-05,,
79,26879,0.01371584760878856,0.07111170887947083,9.829907903971625e-06,,
80,27215,0.013218818759750797,0.07099892944097519,8.90105449744989e-06,0.9740719918390404,1.0
81,27551,0.013234881886871466,0.07535328716039658,8.01399530711388e-06,,
82,27887,0.012294054264895663,0.07375206798315048,7.169632398530413e-06,,
83,28223,0.013409423529602853,0.07825521379709244,6.368824418691732e-06,,
84,28559,0.013114073772504483,0.07733362168073654,5.612385722842817e-06,,
85,28895,0.01235053719435763,0.07825338840484619,4.901085546349654e-06,,
86,29231,0.012905902937442685,0.0814003273844719,4.2356472224507445e-06,,
87,29567,0.013409634661955005,0.08252936601638794,3.616747446687224e-06,,
88,29903,0.01266912410348942,0.08322980254888535,3.045015588759709e-06,,
89,30239,0.012510950230145161,0.08054138720035553,2.5210330525114623e-06,,
90,30575,0.01216730663006837,0.08121056854724884,2.0453326846890496e-06,0.22038933767556726,0.9749052128528503
91,30911,0.012053869481037725,0.08645763993263245,1.618398233081342e-06,,
