condition,sampler,steps,n_rollouts,n_env_seeds,n_sampling_seeds,mean_score,score_std_descriptive,policy_median_ms,policy_p95_ms,benchmark_calls,DDIM_reference,speedup_vs_DDIM_reference,paired_score_delta_vs_DDIM_reference
DDPM_100,DDPM,100,5,5,1,0.82870131834619,0.3636173378133307,1458.3978999999943,1515.5679149999999,20,separate_sampler_reference,,
DDIM_100,DDIM,100,5,5,1,0.9879172962091166,0.018524639334538563,1411.052799999993,1442.958829999975,20,DDIM_100,1.0,0.0
DDIM_50,DDIM,50,5,5,1,0.9997581969180835,0.0005406881283343002,712.4357999999944,744.3353399999943,20,DDIM_100,1.980603445250792,0.011840900708966772
DDIM_20,DDIM,20,5,5,1,0.825477234347534,0.3621787646225241,279.82549999998696,304.6594850000048,20,DDIM_100,5.042616916614315,-0.1624400618615828
DDIM_10,DDIM,10,5,5,1,1.0,0.0,113.38134999999738,127.8596350000015,20,DDIM_100,12.445193146844924,0.012082703790883298
