condition,sampler,steps,env_seed,sampling_seed,episode_max_reward,max_steps,checkpoint_origin,eval_log
DDIM_10,DDIM,10,100004,2,1.0,300,self_trained,DDIM_10\sampling_seed_2\env_seed_100004\eval_log.json
DDIM_20,DDIM,20,100000,0,1.0,300,self_trained,DDIM_20\sampling_seed_0\env_seed_100000\eval_log.json
DDIM_20,DDIM,20,100001,0,1.0,300,self_trained,DDIM_20\sampling_seed_0\env_seed_100001\eval_log.json
DDIM_20,DDIM,20,100002,0,1.0,300,self_trained,DDIM_20\sampling_seed_0\env_seed_100002\eval_log.json
DDIM_20,DDIM,20,100003,0,0.1788181956826869,300,self_trained,DDIM_20\sampling_seed_0\env_seed_100003\eval_log.json
DDIM_20,DDIM,20,100004,0,0.9485679760549827,300,self_trained,DDIM_20\sampling_seed_0\env_seed_100004\eval_log.json
DDIM_20,DDIM,20,100000,1,1.0,300,self_trained,DDIM_20\sampling_seed_1\env_seed_100000\eval_log.json
DDIM_20,DDIM,20,100001,1,1.0,300,self_trained,DDIM_20\sampling_seed_1\env_seed_100001\eval_log.json
DDIM_20,DDIM,20,100002,1,1.0,300,self_trained,DDIM_20\sampling_seed_1\env_seed_100002\eval_log.json
DDIM_20,DDIM,20,100003,1,1.0,300,self_trained,DDIM_20\sampling_seed_1\env_seed_100003\eval_log.json
DDIM_20,DDIM,20,100004,1,1.0,300,self_trained,DDIM_20\sampling_seed_1\env_seed_100004\eval_log.json
DDIM_20,DDIM,20,100000,2,0.9779914465395719,300,self_trained,DDIM_20\sampling_seed_2\env_seed_100000\eval_log.json
DDIM_20,DDIM,20,100001,2,0.9586625788347547,300,self_trained,DDIM_20\sampling_seed_2\env_seed_100001\eval_log.json
DDIM_20,DDIM,20,100002,2,0.9614937708765247,300,self_trained,DDIM_20\sampling_seed_2\env_seed_100002\eval_log.json
DDIM_20,DDIM,20,100003,2,1.0,300,self_trained,DDIM_20\sampling_seed_2\env_seed_100003\eval_log.json
DDIM_20,DDIM,20,100004,2,1.0,300,self_trained,DDIM_20\sampling_seed_2\env_seed_100004\eval_log.json
DDIM_100,DDIM,100,100000,0,1.0,300,self_trained,DDIM_100\sampling_seed_0\env_seed_100000\eval_log.json
DDIM_100,DDIM,100,100001,0,1.0,300,self_trained,DDIM_100\sampling_seed_0\env_seed_100001\eval_log.json
DDIM_100,DDIM,100,100002,0,0.9815769383329497,300,self_trained,DDIM_100\sampling_seed_0\env_seed_100002\eval_log.json
DDIM_100,DDIM,100,100003,0,1.0,300,self_trained,DDIM_100\sampling_seed_0\env_seed_100003\eval_log.json
DDIM_100,DDIM,100,100004,0,0.9580095427126337,300,self_trained,DDIM_100\sampling_seed_0\env_seed_100004\eval_log.json
DDIM_100,DDIM,100,100000,1,1.0,300,self_trained,DDIM_100\sampling_seed_1\env_seed_100000\eval_log.json
DDIM_100,DDIM,100,100001,1,1.0,300,self_trained,DDIM_100\sampling_seed_1\env_seed_100001\eval_log.json
DDIM_100,DDIM,100,100002,1,0.984786704523875,300,self_trained,DDIM_100\sampling_seed_1\env_seed_100002\eval_log.json
DDIM_100,DDIM,100,100003,1,0.9950439592089704,300,self_trained,DDIM_100\sampling_seed_1\env_seed_100003\eval_log.json
DDIM_100,DDIM,100,100004,1,0.9948542152963706,300,self_trained,DDIM_100\sampling_seed_1\env_seed_100004\eval_log.json
DDIM_100,DDIM,100,100000,2,1.0,300,self_trained,DDIM_100\sampling_seed_2\env_seed_100000\eval_log.json
DDIM_100,DDIM,100,100001,2,1.0,300,self_trained,DDIM_100\sampling_seed_2\env_seed_100001\eval_log.json
DDIM_100,DDIM,100,100002,2,0.9917043986027819,300,self_trained,DDIM_100\sampling_seed_2\env_seed_100002\eval_log.json
DDIM_100,DDIM,100,100003,2,0.9789234044687701,300,self_trained,DDIM_100\sampling_seed_2\env_seed_100003\eval_log.json
DDIM_100,DDIM,100,100004,2,0.9802874047851708,300,self_trained,DDIM_100\sampling_seed_2\env_seed_100004\eval_log.json
